"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/applications/route.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 75
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/jobs/[id]/route.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 117
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/jobs/route.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 125
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/reviews/[id]/route.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/reviews/route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/settings/route.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 73
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/admin/stats/history/route.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 101
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/analytics/route.ts", "TypeScript", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 27, 266
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/applications/[id]/cv/route.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 104
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/auth/login/route.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/auth/logout/route.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/careers/[slug]/apply/route.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 125
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/careers/route.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/contact-submissions/route.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 80
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/contact/route.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 106
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/emails/log/route.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 76
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/google-reviews/route.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/news/[id]/route.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 116
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/news/route.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/newsletter/route.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 129
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/notifications/route.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 69
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/projects/[id]/route.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 106
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/projects/route.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/retell/access-token/route.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 55
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/settings/route.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/testimonials/[id]/route.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 85
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/testimonials/route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/upload/route.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 63
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/app/api/users/[id]/route.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 153
